FIPS,trump_vs_senate,trump_vs_house
17025,3.069528111,1.200810609
17027,4.94420934,0.236161139
17029,1.343201874,0.364175411
17031,0.691309075,14.79239364
17033,2.478246223,0.59476931
17035,4.331026024,1.436336183
17037,-0.41503311,-2.132873401
17039,4.328236094,-1.585080031
17041,2.584374167,-1.492222681
17043,-1.750042297,3.33200656
17045,5.389223627,0.446936393
17047,2.604946329,-0.386340425
17049,2.573065285,-0.406705847
17051,3.287259297,0.600555047
17053,0.816504433,-7.415223533
17055,6.520472549,-1.354766169
17057,4.980355973,8.855300416
17059,9.999539934,3.764989133
17061,6.947871708,-0.727635777
17063,2.622122849,-6.283748202
17065,8.135276628,2.755195767
17067,3.585198487,-2.452632941
17069,,
17071,4.217752009,6.748910629
17073,1.701951418,2.265900864
17075,1.984727169,-5.275733478
17077,1.780293718,-5.051939456
17079,3.824671971,0.224455772
17081,3.946063871,-1.830291954
17083,5.339404114,-0.347508362
17085,0.857237352,2.251840046
17087,4.975439731,0.154399321
17089,-1.334551033,-6.160437121
17091,1.193533739,0.909838456
17093,-0.936773689,-2.489916865
17095,1.715333982,3.290934628
17097,-2.736458407,-9.191808043
17099,2.794041398,-4.276518114
17101,3.301607458,1.528766265
17103,1.289243938,-6.080987685
17105,3.132261226,-7.138712524
17107,4.791963648,-6.437276351
17109,1.735634142,-7.313969124
17111,-0.708188966,-1.753146072
17113,-1.689118482,-13.36314832
17115,1.651717246,-2.085703025
17117,5.105092172,-0.552146665
17119,2.072617182,-8.96592339
17121,4.119462066,1.701892713
17123,1.540030085,-7.87556843
17125,6.999460948,-6.096692143
17127,2.566101612,0.399213657
17129,1.655303872,-7.055184211
17131,2.647875865,5.373972428
17133,1.019351505,-4.096697944
17135,3.895005688,-1.01603066
17137,3.814626524,-8.106149461
17139,3.007035683,0.942344286
17141,1.199798806,-7.087652769
17143,0.236360488,-17.58319197
17145,7.392590127,-3.39859691
17147,1.462832305,-3.97712194
17149,5.134615864,-3.225021566
17151,4.746310529,1.415621904
17153,7.699561444,-3.397683398
17155,6.015121066,-4.00492284
17157,7.804618702,-1.777227482
17159,1.956217432,-0.523110929
17161,0.653793706,0.563573826
17163,0.034898125,-4.019510408
17165,5.259583113,1.26460979
17167,0.438426838,-14.51659194
17169,6.580588275,-5.711517545
17171,5.486511868,-5.325909414
17173,4.133372747,1.45677034
17175,1.893117554,-9.095967531
17177,1.085427531,2.05737115
17179,1.72382887,-10.11670456
17181,6.706582271,-3.604078393
17183,4.506058611,-1.479053758
17185,0.969237656,0.158602377
17187,0.337882951,3.638632279
17189,4.066619277,0.817985586
17191,3.085480848,0.533669483
17193,3.036874884,0.590325714
17195,2.311943825,3.588546141
17197,0.570177349,2.583100283
17199,4.739852848,-3.320509899
17201,-10.33587549,4.396353036
17203,1.335319004,-6.759253445
18001,,-1.492348918
18003,,-3.350737879
18005,,-2.061884448
18007,,0.129777343
18009,,4.633928986
18011,,4.770080275
18013,,-1.04833937
18015,,0.014612229
18017,,2.432154143
18019,,-3.454272812
18021,,-1.806728037
18023,,-0.424636102
18025,,1.812716947
18027,,-2.963352929
18029,,-0.770889878
18031,,-0.975239753
18033,,-1.581261013
18035,,-0.47537436
18037,,-2.977348396
18039,,-1.814877731
18041,,-0.549299501
18043,,-3.499386445
18045,,0.447693107
18047,,-0.53643374
18049,,0.198812694
18051,,-2.962422627
18053,,1.583982832
18055,,-2.047599872
18057,,-2.182347966
18059,,-2.042725459
